short_name longitude latitude bio1 bio2 bio3 bio6 bio12 bio14 bio15 bio19 prec4 prec5 prec7 prec9 prec10 pop1
D6-0708 31.23101 1.00349 224 114 81 161 1233 36 41 343 166 121 74 143 154 0.00816300226559092
D6-0709 31.23101 1.00349 224 114 81 161 1233 36 41 343 166 121 74 143 154 -0.0383443668777873
D6-0710 31.23101 1.00349 224 114 81 161 1233 36 41 343 166 121 74 143 154 -0.0349246980224931
D6-0711 31.19887 1.13075 226 116 80 162 1254 36 41 353 166 124 76 148 158 0.00601289620891469
D6-0712 31.19887 1.13075 226 116 80 162 1254 36 41 353 166 124 76 148 158 -0.0276813437516364
D6-0713 31.19887 1.13075 226 116 80 162 1254 36 41 353 166 124 76 148 158 -0.0257276954225218
D6-0715 31.19887 1.13075 226 116 80 162 1254 36 41 353 166 124 76 148 158 -0.0156067236105897
D7-0746 31.35435 0.55483 206 102 80 150 1144 43 41 298 145 94 55 136 156 -0.0628416042383682
D7-0747 31.35435 0.55483 206 102 80 150 1144 43 41 298 145 94 55 136 156 -0.036390718548672
D7-0748 31.35435 0.55483 206 102 80 150 1144 43 41 298 145 94 55 136 156 -0.0604097757478047
D7-0749 31.35435 0.55483 206 102 80 150 1144 43 41 298 145 94 55 136 156 -0.081158416036166
D7-0751 31.36136 0.55843 203 100 80 148 1161 43 41 302 147 96 55 137 157 -0.00281562682811192
D7-0752 31.36136 0.55843 203 100 80 148 1161 43 41 302 147 96 55 137 157 -0.0288122162584794
D7-0753 31.36136 0.55843 203 100 80 148 1161 43 41 302 147 96 55 137 157 -0.0612784678725453
D7-0754 31.36136 0.55843 203 100 80 148 1161 43 41 302 147 96 55 137 157 -0.0572938617267453
D7-0755 31.36136 0.55843 203 100 80 148 1161 43 41 302 147 96 55 137 157 -0.0766671132258687
D7-0756 30.98114 0.41556 209 112 82 147 1071 43 42 280 136 91 50 128 150 -0.0742125967971342
D7-0758 30.98114 0.41556 209 112 82 147 1071 43 42 280 136 91 50 128 150 -0.0823026107923809
D7-0760 30.98114 0.41556 209 112 82 147 1071 43 42 280 136 91 50 128 150 -0.0395066325697312
D7-0761 31.03319 0.5978 218 112 83 157 1157 40 41 229 154 103 61 136 154 -0.0572938617267453
D7-0762 31.03319 0.5978 218 112 83 157 1157 40 41 229 154 103 61 136 154 -0.0165945639753214
D7-0763 31.03319 0.5978 218 112 83 157 1157 40 41 229 154 103 61 136 154 -0.0382252186377957
E2-0326 31.97253 3.39225 259 135 74 183 1177 9 55 447 136 146 141 141 137 0.0318664534971708
E2-0327 31.97253 3.39225 259 135 74 183 1177 9 55 447 136 146 141 141 137 0.0468430109860459
E2-0329 31.97253 3.39225 259 135 74 183 1177 9 55 447 136 146 141 141 137 0.0417380939861508
E2-0330 31.95121 3.38618 258 134 74 182 1182 9 55 447 137 147 140 141 138 -0.00935120970446652
E2-0331 31.95121 3.38618 258 134 74 182 1182 9 55 447 137 147 140 141 138 0.0555170311333602
E2-0332 31.95121 3.38618 258 134 74 182 1182 9 55 447 137 147 140 141 138 0.0436917423152656
E2-0333 31.95121 3.38618 258 134 74 182 1182 9 55 447 137 147 140 141 138 0.0300319534080472
B7-0089 30.10559 0.19685 232 128 85 159 926 27 37 270 122 96 47 112 106 0.00287329632385068
B7-0090 30.10559 0.19685 232 128 85 159 926 27 37 270 122 96 47 112 106 -0.0602906275078135
B7-0091 30.10559 0.19685 232 128 85 159 926 27 37 270 122 96 47 112 106 -0.0593027871430817
B8-0108 30.04338 0.09478 231 127 86 159 938 30 38 278 126 95 41 112 107 -0.074069564655023
B8-0109 30.04338 0.09478 231 127 86 159 938 30 38 278 126 95 41 112 107 -0.097957804828448
B8-0110 30.04338 0.09478 231 127 86 159 938 30 38 278 126 95 41 112 107 -0.0301352046425488
B8-0111 30.04338 0.09478 231 127 86 159 938 30 38 278 126 95 41 112 107 -0.0837447474164413
B8-0112 30.05218 0.05945 234 127 85 161 901 28 39 266 123 92 39 107 101 -0.0500505074558904
B8-0113 30.05218 0.05945 234 127 85 161 901 28 39 266 123 92 39 107 101 -0.0939848674683646
C6-0728 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.0209894536977895
C6-0729 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.00329619939807766
C6-0730 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 -0.0300543766851873
C6-0731 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 -0.00182778646338023
C6-0732 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.00442772744274292
C6-0733 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.00527160388182654
C6-0734 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.0417380939861508
C6-0735 30.23459 0.86187 228 122 85 161 1199 46 30 308 146 111 95 117 123 0.0237764395019239
C7-0076 30.17234 0.28124 230 126 85 159 985 32 36 285 128 98 52 117 113 -0.0490626670911587
C7-0077 30.17234 0.28124 230 126 85 159 985 32 36 285 128 98 52 117 113 -0.0154875753705987
C7-0078 30.17234 0.28124 230 126 85 159 985 32 36 285 128 98 52 117 113 -0.0705307475597366
C7-0079 30.17234 0.28124 230 126 85 159 985 32 36 285 128 98 52 117 113 -0.098430696971021
C7-0080 30.1998 0.31706 227 125 85 156 1023 35 36 297 132 99 54 120 119 -0.088190576919098
C7-0081 30.1998 0.31706 227 125 85 156 1023 35 36 297 132 99 54 120 119 -0.0705307475597366
C7-0082 30.1998 0.31706 227 125 85 156 1023 35 36 297 132 99 54 120 119 -0.018309915824454
C7-0084 30.11941 0.25197 224 124 85 154 1036 36 36 306 133 100 50 124 122 -0.0638294446030997
C7-0085 30.11941 0.25197 224 124 85 154 1036 36 36 306 133 100 50 124 122 -0.0847325877811734
C7-0086 30.11941 0.25197 224 124 85 154 1036 36 36 306 133 100 50 124 122 -0.0572585070770243
C7-0087 30.11941 0.25197 224 124 85 154 1036 36 36 306 133 100 50 124 122 -0.0362715703086809
C7-0117 30.11026 0.27011 222 123 86 153 1075 39 36 320 137 102 50 128 129 -0.0017086382233892
C7-0118 30.11026 0.27011 222 123 86 153 1075 39 36 320 137 102 50 128 129 -0.00923206146447551
C7-0119 30.11026 0.27011 222 123 86 153 1075 39 36 320 137 102 50 128 129 -0.0633948727431565
C7-0120 30.11026 0.27011 222 123 86 153 1075 39 36 320 137 102 50 128 129 -0.0602906275078135
C7-0122 30.54278 0.66433 204 119 83 138 1311 39 43 259 163 121 63 160 186 -0.0255532700953089
C7-0123 30.54278 0.66433 204 119 83 138 1311 39 43 259 163 121 63 160 186 -0.0348055497825004
C7-0124 30.54278 0.66433 204 119 83 138 1311 39 43 259 163 121 63 160 186 -0.0297123015683218
C7-0125 30.58295 0.66747 207 119 85 142 1287 39 42 260 161 118 64 155 180 -0.0308209436367003
C7-0126 30.58295 0.66747 207 119 85 142 1287 39 42 260 161 118 64 155 180 0.0241053677188488
C7-0127 30.58295 0.66747 207 119 85 142 1287 39 42 260 161 118 64 155 180 -0.00476927515722664
C7-0128 30.58295 0.66747 207 119 85 142 1287 39 42 260 161 118 64 155 180 -0.0109056408233588
C7-0129 30.58452 0.65922 207 118 84 142 1281 39 42 259 160 117 64 155 180 -0.0163209128456184
C7-0130 30.58452 0.65922 207 118 84 142 1281 39 42 259 160 117 64 155 180 -0.0563060213620135
C7-0131 30.58452 0.65922 207 118 84 142 1281 39 42 259 160 117 64 155 180 -0.023010998611685
C7-0132 30.58452 0.65922 207 118 84 142 1281 39 42 259 160 117 64 155 180 -0.0092320614644755
D2-0359 31.12822 3.53858 242 126 75 168 1232 10 60 547 130 140 68 178 171 0.0318664534971709
D2-0360 31.12822 3.53858 242 126 75 168 1232 10 60 547 130 140 68 178 171 0.0109633103190975
D2-0361 31.12822 3.53858 242 126 75 168 1232 10 60 547 130 140 68 178 171 0.0436917423152657
D2-0362 31.13442 3.56848 242 126 75 169 1241 10 60 451 131 142 73 179 171 0.0555170311333602
D2-0363 31.13442 3.56848 242 126 75 169 1241 10 60 451 131 142 73 179 171 0.0366028909341226
D2-0364 31.13442 3.56848 242 126 75 169 1241 10 60 451 131 142 73 179 171 0.0312295737497126
D2-0365 31.13442 3.56848 242 126 75 169 1241 10 60 451 131 142 73 179 171 0.0448893626569311
D2-0366 31.24368 3.56239 247 128 74 172 1190 8 60 431 126 140 70 171 163 0.0555170311333602
D2-0367 31.24368 3.56239 247 128 74 172 1190 8 60 431 126 140 70 171 163 0.0417380939861508
D2-0368 31.24368 3.56239 247 128 74 172 1190 8 60 431 126 140 70 171 163 0.0484281797522174
D2-0369 31.24368 3.56239 247 128 74 172 1190 8 60 431 126 140 70 171 163 0.0334516222633424
D2-0370 31.2012 3.58022 244 128 75 171 1210 9 61 439 128 141 69 175 166 0.0436917423152657
D2-0372 31.2012 3.58022 244 128 75 171 1210 9 61 439 128 141 69 175 166 0.0468430109860458
D2-0373 31.2012 3.58022 244 128 75 171 1210 9 61 439 128 141 69 175 166 0.0468430109860458
D3-0374 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0299128051680561
D3-0375 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0318664534971709
D3-0376 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0436917423152657
D3-0377 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0436917423152657
D3-0378 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0555170311333602
D3-0379 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0366028909341226
D3-0380 30.96025 3.01263 231 116 76 165 1379 16 51 457 130 112 147 176 207 0.0468430109860458
D3-0383 31.0507 3.0253 241 122 73 164 1253 15 51 520 128 111 116 161 184 0.0279591568389414
D3-0384 31.0507 3.0253 241 122 73 164 1253 15 51 520 128 111 116 161 184 0.0299128051680561
D3-0385 31.0507 3.0253 241 122 73 164 1253 15 51 520 128 111 116 161 184 0.0300319534080471
D3-0387 31.10044 3.02994 246 125 72 163 1194 14 51 491 128 112 106 152 172 0.0314979739342277
D3-0388 31.10044 3.02994 246 125 72 163 1194 14 51 491 128 112 106 152 172 0.0436917423152657
D3-0389 31.10044 3.02994 246 125 72 163 1194 14 51 491 128 112 106 152 172 0.0555170311333602
D4-0406 31.12947 2.51492 236 119 71 152 1080 16 49 434 114 99 106 137 155 0.0436917423152657
D4-0407 31.12947 2.51492 236 119 71 152 1080 16 49 434 114 99 106 137 155 0.0555170311333602
D4-0408 31.12947 2.51492 236 119 71 152 1080 16 49 434 114 99 106 137 155 0.0299128051680561
D4-0409 31.12947 2.51492 236 119 71 152 1080 16 49 434 114 99 106 137 155 0.0555170311333602
D4-0410 31.1379 2.54497 238 121 71 153 1072 16 50 431 115 98 104 135 155 0.0480406313277113
D4-0411 31.1379 2.54497 238 121 71 153 1072 16 50 431 115 98 104 135 155 0.0555170311333602
D4-0413 31.1379 2.54497 238 121 71 153 1072 16 50 431 115 98 104 135 155 0.0318664534971709
D4-0414 31.07799 2.47911 231 118 71 149 1104 17 49 442 115 102 110 140 156 0.0436917423152656
D4-0415 31.07799 2.47911 231 118 71 149 1104 17 49 442 115 102 110 140 156 0.0452769110814372
D4-0417 31.07799 2.47911 231 118 71 149 1104 17 49 442 115 102 110 140 156 0.0279591568389414
D5-0686 31.31653 1.70078 238 114 82 176 1147 28 44 316 154 143 85 116 148 -0.0939848674683646
D5-0687 31.31653 1.70078 238 114 82 176 1147 28 44 316 154 143 85 116 148 -0.0847325877811733
D5-0689 31.31653 1.70078 238 114 82 176 1147 28 44 316 154 143 85 116 148 -0.0847325877811733
D5-0690 31.31653 1.70078 238 114 82 176 1147 28 44 316 154 143 85 116 148 -0.023010998611685
D5-0691 31.30803 1.61455 230 118 81 166 1284 29 44 355 172 161 90 135 169 -0.0715185879244684
D5-0692 31.30803 1.61455 230 118 81 166 1284 29 44 355 172 161 90 135 169 -0.0245654297305772
D5-0694 31.30803 1.61455 230 118 81 166 1284 29 44 355 172 161 90 135 169 -0.104647890594515
D5-0695 31.30803 1.61455 230 118 81 166 1284 29 44 355 172 161 90 135 169 -0.0602906275078135
D6-0696 31.34532 0.75372 219 109 81 159 1194 39 41 325 160 106 67 141 157 -0.0164754157353304
D6-0697 31.34532 0.75372 219 109 81 159 1194 39 41 325 160 106 67 141 157 -0.0613976161125362
D6-0698 31.34532 0.75372 219 109 81 159 1194 39 41 325 160 106 67 141 157 -0.0638294446030998
D6-0699 31.34532 0.75372 219 109 81 159 1194 39 41 325 160 106 67 141 157 -0.104647890594515
D6-0701 31.30129 0.97391 221 113 81 159 1234 37 40 345 164 118 74 144 155 -0.0908335987975843
D6-0702 31.30129 0.97391 221 113 81 159 1234 37 40 345 164 118 74 144 155 -0.0606781759323196
D6-0703 31.30129 0.97391 221 113 81 159 1234 37 40 345 164 118 74 144 155 -0.0476186789653268
D6-0704 31.30129 0.97391 221 113 81 159 1234 37 40 345 164 118 74 144 155 -0.0403753246944719
D6-0705 31.30129 0.97391 221 113 81 159 1234 37 40 345 164 118 74 144 155 -0.0429263014250265
D6-0706 31.23101 1.00349 224 114 81 161 1233 36 41 343 166 121 74 143 154 0.00132348220740001
D6-0707 31.23101 1.00349 224 114 81 161 1233 36 41 343 166 121 74 143 154 -0.0319832093286449
E2-0334 31.80721 3.37071 255 133 73 179 1205 10 54 450 139 148 135 146 143 0.0484281797522173
E2-0335 31.80721 3.37071 255 133 73 179 1205 10 54 450 139 148 135 146 143 0.034613887955287
E2-0336 31.80721 3.37071 255 133 73 179 1205 10 54 450 139 148 135 146 143 0.0436917423152656
E2-0338 31.87626 3.358338 258 134 74 181 1188 10 54 444 140 148 138 141 139 0.0299128051680561
E2-0339 31.87626 3.358338 258 134 74 181 1188 10 54 444 140 148 138 141 139 0.0279591568389414
E2-0340 31.87626 3.358338 258 134 74 181 1188 10 54 444 140 148 138 141 139 0.0182066645899524
E2-0341 31.87626 3.358338 258 134 74 181 1188 10 54 444 140 148 138 141 139 0.0555170311333602
E3-0343 31.78031 3.21591 248 131 73 168 1265 12 53 493 145 153 129 154 157 0.0299128051680561
E3-0344 31.78031 3.21591 248 131 73 168 1265 12 53 493 145 153 129 154 157 0.00784739629803821
E3-0345 31.78031 3.21591 248 131 73 168 1265 12 53 493 145 153 129 154 157 0.0227885991371923
E3-0347 31.684 3.14992 243 129 72 163 1275 13 52 508 142 148 119 158 165 0.0418572422261418
E3-0348 31.684 3.14992 243 129 72 163 1275 13 52 508 142 148 119 158 165 0.0318664534971709
E3-0349 31.684 3.14992 243 129 72 163 1275 13 52 508 142 148 119 158 165 0.0334516222633424
E3-0350 31.73258 3.14143 243 129 72 162 1287 13 53 512 144 150 123 159 166 0.00717516190085911
E3-0351 31.73258 3.14143 243 129 72 162 1287 13 53 512 144 150 123 159 166 0.0436917423152656
E3-0353 31.73258 3.14143 243 129 72 162 1287 13 53 512 144 150 123 159 166 0.0316171221742187
E3-0354 31.7562 3.16741 245 130 73 165 1280 13 53 504 144 152 126 157 162 0.0119511506838292
E3-0355 31.7562 3.16741 245 130 73 165 1280 13 53 504 144 152 126 157 162 0.0216263334452477
E3-0356 31.7562 3.16741 245 130 73 165 1280 13 53 504 144 152 126 157 162 0.0436917423152656
E3-0357 31.7562 3.16741 245 130 73 165 1280 13 53 504 144 152 126 157 162 0.0212387850207416
E4-0390 31.49471 2.46127 252 125 65 149 1000 16 48 378 117 110 87 123 136 0.0161338680208467
E4-0392 31.49471 2.46127 252 125 65 149 1000 16 48 378 117 110 87 123 136 0.00589374796892348
E4-0393 31.49471 2.46127 252 125 65 149 1000 16 48 378 117 110 87 123 136 0.0555170311333602
E4-0394 31.45993 2.48431 248 125 64 144 1006 15 49 390 114 106 89 126 142 0.0586682998041405
E4-0395 31.45993 2.48431 248 125 64 144 1006 15 49 390 114 106 89 126 142 0.0446547669943402
E4-0396 31.45993 2.48431 248 125 64 144 1006 15 49 390 114 106 89 126 142 0.0446547669943402
E4-0397 31.45993 2.48431 248 125 64 144 1006 15 49 390 114 106 89 126 142 0.0237869784659878
E4-0398 31.45218 2.50504 247 125 64 143 1006 15 49 393 114 104 89 126 144 0.0263627708821995
E4-0399 31.45218 2.50504 247 125 64 143 1006 15 49 393 114 104 89 126 144 0.0099975023547145
E4-0400 31.45218 2.50504 247 125 64 143 1006 15 49 393 114 104 89 126 144 0.0318664534971709
E4-0402 31.49154 2.4649 251 125 65 148 998 16 48 378 116 110 87 123 136 -0.00496851617009661
E4-0403 31.49154 2.4649 251 125 65 148 998 16 48 378 116 110 87 123 136 0.0299128051680561
E4-0404 31.49154 2.4649 251 125 65 148 998 16 48 378 116 110 87 123 136 0.0210041893581507
E4-0405 31.49154 2.4649 251 125 65 148 998 16 48 378 116 110 87 123 136 0.0308758298471307
E5-0666 31.8742 1.63416 230 121 81 163 1225 36 39 360 156 129 87 140 150 -0.0304419251096934
E5-0668 31.8742 1.63416 230 121 81 163 1225 36 39 360 156 129 87 140 150 -0.0576122509796062
E5-0669 31.8742 1.63416 230 121 81 163 1225 36 39 360 156 129 87 140 150 -0.0105266222963518
E5-0670 31.8742 1.63416 230 121 81 163 1225 36 39 360 156 129 87 140 150 -0.0535084965938152
E5-0671 31.77569 1.68576 229 121 81 162 1314 38 39 382 169 143 94 150 159 -0.0933875390669245
E5-0672 31.77569 1.68576 229 121 81 162 1314 38 39 382 169 143 94 150 159 -0.0468992387851101
E5-0673 31.77569 1.68576 229 121 81 162 1314 38 39 382 169 143 94 150 159 -0.0355468421095884
E5-0674 31.77569 1.68576 229 121 81 162 1314 38 39 382 169 143 94 150 159 -0.0186166362915986
E5-0675 31.77569 1.68576 229 121 81 162 1314 38 39 382 169 143 94 150 159 0.0222018096998162
E5-0676 31.79751 1.66295 230 121 81 163 1284 37 39 374 165 138 91 147 156 -0.0237215532914936
E5-0678 31.79751 1.66295 230 121 81 163 1284 37 39 374 165 138 91 147 156 0.0340270985179109
E5-0679 31.79751 1.66295 230 121 81 163 1284 37 39 374 165 138 91 147 156 -0.0594219353830729
E5-0680 31.79751 1.66295 230 121 81 163 1284 37 39 374 165 138 91 147 156 -0.0450456698344235
E5-0681 31.70617 1.65583 226 121 81 159 1360 38 40 403 171 142 100 158 168 -0.0466308386005951
E5-0683 31.70617 1.65583 226 121 81 159 1360 38 40 403 171 142 100 158 168 -0.00895199249424406
E5-0684 31.70617 1.65583 226 121 81 159 1360 38 40 403 171 142 100 158 168 -0.0659488130124968
E5-0685 31.70617 1.65583 226 121 81 159 1360 38 40 403 171 142 100 158 168 -0.0235775893658454
E6-0716 31.83417 0.89346 227 114 82 162 1174 31 43 244 170 136 70 117 147 -0.041341132658855
E6-0717 31.83417 0.89346 227 114 82 162 1174 31 43 244 170 136 70 117 147 -0.0500505074558904
E6-0718 31.83417 0.89346 227 114 82 162 1174 31 43 244 170 136 70 117 147 -0.0355220264239313
E6-0719 31.83417 0.89346 227 114 82 162 1174 31 43 244 170 136 70 117 147 0.0135363194500008
E6-0721 31.74691 0.80434 224 112 81 161 1145 32 42 232 165 128 68 117 146 -0.0139024066044271
E6-0722 31.74691 0.80434 224 112 81 161 1145 32 42 232 165 128 68 117 146 -0.0140215548444181
E6-0723 31.74691 0.80434 224 112 81 161 1145 32 42 232 165 128 68 117 146 -0.0466308386005951
E6-0724 31.74691 0.80434 224 112 81 161 1145 32 42 232 165 128 68 117 146 0.00259322735361922
E6-0725 31.74691 0.80434 224 112 81 161 1145 32 42 232 165 128 68 117 146 0.0300319534080471
E6-0736 31.71469 0.96348 223 114 82 159 1182 31 42 324 166 129 74 127 152 -0.0301352046425488
E6-0737 31.71469 0.96348 223 114 82 159 1182 31 42 324 166 129 74 127 152 -0.0736703474448005
E6-0738 31.71469 0.96348 223 114 82 159 1182 31 42 324 166 129 74 127 152 -0.0694876301077831
E6-0739 31.71469 0.96348 223 114 82 159 1182 31 42 324 166 129 74 127 152 -0.0805934787456612
E6-0740 31.71469 0.96348 223 114 82 159 1182 31 42 324 166 129 74 127 152 -0.0604097757478045
E6-0741 31.54386 1.04473 229 115 81 165 1162 32 41 330 156 117 73 132 144 -0.0439141417897582
E6-0742 31.54386 1.04473 229 115 81 165 1162 32 41 330 156 117 73 132 144 -0.0946572842131439
E6-0744 31.54386 1.04473 229 115 81 165 1162 32 41 330 156 117 73 132 144 -0.0894029329211247
E6-0745 31.54386 1.04473 229 115 81 165 1162 32 41 330 156 117 73 132 144 -0.0527672042667272
