short_name;longitude;latitude
C6-0730;30.23459;0.86187
C6-0731;30.23459;0.86187
C6-0732;30.23459;0.86187
D6-0701;31.30129;0.97391
D6-0706;31.23101;1.00349
E3-0350;31.73258;3.14143
E3-0353;31.73258;3.14143
E3-0357;31.7562;3.16741
E5-0678;31.79751;1.66295
E5-0679;31.79751;1.66295
E5-0681;31.70617;1.65583
E5-0684;31.70617;1.65583
E5-0685;31.70617;1.65583
E6-0724;31.74691;0.80434
E7-0772;31.90779;0.39083
E7-0780;31.89656;0.37013
E7-0781;31.89656;0.37013
E7-0782;31.89656;0.37013
E7-0785;31.89656;0.37013
F3-0506;32.3544;2.84837
F3-0508;32.3544;2.84837
F3-0519;32.40484;2.69135
F3-0524;32.41719;2.69807
F4-0599;32.45656;2.02553
F4-0603;32.4485;2.04715
F4-0604;32.4485;2.04715
F4-0605;32.4485;2.04715
F5-0659;32.09648;1.39733
G2-0437;33.05016;3.47267
G2-0443;33.06202;3.49713
G2-0445;33.06202;3.49713
G2-0446;32.94359;3.35815
G3-0490;33.07119;3.0387
G3-0495;33.07119;3.0387
G3-0502;33.06567;2.98782
G3-0503;33.06567;2.98782
G6-0562;32.76132;1.18822
G7-0050;33.12106;0.61905
H2-0419;33.46838;3.40943
H2-0423;33.48622;3.55361
H2-0424;33.48622;3.55361
H2-0428;33.48641;3.35978
H3-0453;33.656794;2.70009
H3-0455;33.75225;2.82619
H3-0456;33.75225;2.82619
H3-0457;33.75225;2.82619
H3-0458;33.73854;2.81939
H3-0459;33.73854;2.81939
H4-0863;33.47195;2.14746
H4-0866;33.47195;2.14746
H4-0868;33.67712;2.28745
H4-0869;33.67712;2.28745
H4-0870;33.67712;2.28745
H4-0873;33.52712;2.47919
H4-0874;33.52712;2.47919
H4-0875;33.52712;2.47919
H4-0877;33.52712;2.47919
H6-0811;33.72608;0.84916
H6-0812;33.72608;0.84916
H6-0813;33.72608;0.84916
H6-0814;33.72608;0.84916
H6-0815;33.72608;0.84916
H6-0820;33.73819;0.78147
H7-0062;33.5566;0.44152
H7-0063;33.5566;0.44152
H7-0070;33.68813;0.47944
H7-0071;33.68813;0.47944
H7-0072;33.68091;0.52474
H7-0073;33.68091;0.52474
I3-0484;33.99299;2.99355
I4-0882;33.96431;2.12029
I4-0887;33.97197;2.14746
I6-0023;33.96317;0.94494
I6-0827;33.95186;1.01682
I7-0009;34.12545;0.59888
I7-0018;34.10406;0.72644
I7-0020;34.10406;0.72644
J4-0916;34.68632;2.04746
J5-0918;34.59608;1.93608
J5-0919;34.59608;1.93608
J5-0920;34.59608;1.93608
J5-0923;34.62992;1.86651
J5-0924;34.62992;1.86651
B7-0089;30.10559;0.19685
B7-0090;30.10559;0.19685
B7-0091;30.10559;0.19685
B8-0108;30.04338;0.09478
B8-0109;30.04338;0.09478
B8-0110;30.04338;0.09478
B8-0111;30.04338;0.09478
B8-0112;30.05218;0.05945
B8-0113;30.05218;0.05945
C6-0728;30.23459;0.86187
C6-0729;30.23459;0.86187
C6-0733;30.23459;0.86187
C6-0734;30.23459;0.86187
C6-0735;30.23459;0.86187
C7-0076;30.17234;0.28124
C7-0077;30.17234;0.28124
C7-0078;30.17234;0.28124
C7-0079;30.17234;0.28124
C7-0080;30.1998;0.31706
C7-0081;30.1998;0.31706
C7-0082;30.1998;0.31706
C7-0084;30.11941;0.25197
C7-0085;30.11941;0.25197
C7-0086;30.11941;0.25197
C7-0087;30.11941;0.25197
C7-0117;30.11026;0.27011
C7-0118;30.11026;0.27011
C7-0119;30.11026;0.27011
C7-0120;30.11026;0.27011
C7-0122;30.54278;0.66433
C7-0123;30.54278;0.66433
C7-0124;30.54278;0.66433
C7-0125;30.58295;0.66747
C7-0126;30.58295;0.66747
C7-0127;30.58295;0.66747
C7-0128;30.58295;0.66747
C7-0129;30.58452;0.65922
C7-0130;30.58452;0.65922
C7-0131;30.58452;0.65922
C7-0132;30.58452;0.65922
D2-0359;31.12822;3.53858
D2-0360;31.12822;3.53858
D2-0361;31.12822;3.53858
D2-0362;31.13442;3.56848
D2-0363;31.13442;3.56848
D2-0364;31.13442;3.56848
D2-0365;31.13442;3.56848
D2-0366;31.24368;3.56239
D2-0367;31.24368;3.56239
D2-0368;31.24368;3.56239
D2-0369;31.24368;3.56239
D2-0370;31.2012;3.58022
D2-0372;31.2012;3.58022
D2-0373;31.2012;3.58022
D3-0374;30.96025;3.01263
D3-0375;30.96025;3.01263
D3-0376;30.96025;3.01263
D3-0377;30.96025;3.01263
D3-0378;30.96025;3.01263
D3-0379;30.96025;3.01263
D3-0380;30.96025;3.01263
D3-0383;31.0507;3.0253
D3-0384;31.0507;3.0253
D3-0385;31.0507;3.0253
D3-0387;31.10044;3.02994
D3-0388;31.10044;3.02994
D3-0389;31.10044;3.02994
D4-0406;31.12947;2.51492
D4-0407;31.12947;2.51492
D4-0408;31.12947;2.51492
D4-0409;31.12947;2.51492
D4-0410;31.1379;2.54497
D4-0411;31.1379;2.54497
D4-0413;31.1379;2.54497
D4-0414;31.07799;2.47911
D4-0415;31.07799;2.47911
D4-0417;31.07799;2.47911
D5-0686;31.31653;1.70078
D5-0687;31.31653;1.70078
D5-0689;31.31653;1.70078
D5-0690;31.31653;1.70078
D5-0691;31.30803;1.61455
D5-0692;31.30803;1.61455
D5-0694;31.30803;1.61455
D5-0695;31.30803;1.61455
D6-0696;31.34532;0.75372
D6-0697;31.34532;0.75372
D6-0698;31.34532;0.75372
D6-0699;31.34532;0.75372
D6-0702;31.30129;0.97391
D6-0703;31.30129;0.97391
D6-0704;31.30129;0.97391
D6-0705;31.30129;0.97391
D6-0707;31.23101;1.00349
E2-0334;31.80721;3.37071
E2-0335;31.80721;3.37071
E2-0336;31.80721;3.37071
E2-0338;31.87626;3.358338
E2-0339;31.87626;3.358338
E2-0340;31.87626;3.358338
E2-0341;31.87626;3.358338
E3-0343;31.78031;3.21591
E3-0344;31.78031;3.21591
E3-0345;31.78031;3.21591
E3-0347;31.684;3.14992
E3-0348;31.684;3.14992
E3-0349;31.684;3.14992
E3-0351;31.73258;3.14143
E3-0354;31.7562;3.16741
E3-0355;31.7562;3.16741
E3-0356;31.7562;3.16741
E4-0390;31.49471;2.46127
E4-0392;31.49471;2.46127
E4-0393;31.49471;2.46127
E4-0394;31.45993;2.48431
E4-0395;31.45993;2.48431
E4-0396;31.45993;2.48431
E4-0397;31.45993;2.48431
E4-0398;31.45218;2.50504
E4-0399;31.45218;2.50504
E4-0400;31.45218;2.50504
E4-0402;31.49154;2.4649
E4-0403;31.49154;2.4649
E4-0404;31.49154;2.4649
E4-0405;31.49154;2.4649
E5-0666;31.8742;1.63416
E5-0668;31.8742;1.63416
E5-0669;31.8742;1.63416
E5-0670;31.8742;1.63416
E5-0671;31.77569;1.68576
E5-0672;31.77569;1.68576
E5-0673;31.77569;1.68576
E5-0674;31.77569;1.68576
E5-0675;31.77569;1.68576
E5-0676;31.79751;1.66295
E5-0680;31.79751;1.66295
E5-0683;31.70617;1.65583
E6-0716;31.83417;0.89346
E6-0717;31.83417;0.89346
